booth,fandoms,facebook_url,zone
A01-04,"genshin, hsr",https://www.facebook.com/photo/?fbid=1067755692046623&set=a.1056396709849188,A
A05-06,"ALNST, blue lock, dungeon mechi, genshin, hsr, mahou-shoujo, wind breaker, zzz",https://www.facebook.com/photo/?fbid=1065770478911811&set=a.1056396709849188,A
A07-08,"dungeon mechi, ensemble star, gegege, genshin, hsr, jojo, mashle, original",https://www.facebook.com/photo/?fbid=1066479395507586&set=a.1056396709849188,A
A11-12,"blue lock, genshin, hsr, original, wind breaker, zzz",https://www.facebook.com/photo/?fbid=1066479412174251&set=a.1056396709849188,A
A13-14,"ALNST, genshin, haikyuu, hsr, wind breaker",https://www.facebook.com/photo/?fbid=1067742412047951&set=a.1056396709849188,A
A19-20,"ALNST, hsr, nijisanji, orv",https://www.facebook.com/photo/?fbid=1065770575578468&set=a.1056396709849188,A
A23-24,"arknights, blue lock, dungeon mechi, genshin, honkai3, hsr, original, wind breaker",https://www.facebook.com/photo/?fbid=1065770568911802&set=a.1056396709849188,A
A25-26,"etc., genshin, hsr, original",https://www.facebook.com/photo/?fbid=1065770458911813&set=a.1056396709849188,A
A27,"frieren, kny, maomao, shoujo, skip & loafer, spy x fam",https://www.facebook.com/photo/?fbid=1065770442245148&set=a.1056396709849188,A
A29-30,"ALNST, dandadan, dungeon mechi, hsr, mahou-shoujo, original, project sekai",https://www.facebook.com/photo/?fbid=1066479375507588&set=a.1056396709849188,A
A33-34,"genshin, hsr",https://www.facebook.com/photo/?fbid=1062413179247541&set=a.1056396709849188,A
A49-50,arknights,https://www.facebook.com/photo/?fbid=1062413192580873&set=a.1056396709849188,A
A51-52,"Hand-made, dandadan, original, shoujo",https://www.facebook.com/photo/?fbid=1065770418911817&set=a.1056396709849188,A
A57-58,"Hand-made, original",https://www.facebook.com/photo/?fbid=1067751335380392&set=a.1056396709849188,A
A63-64,original,https://www.facebook.com/photo/?fbid=1067742298714629&set=a.1056396709849188,A
A67-68,"dungeon mechi, identityV, original, orv, webtoon",https://www.facebook.com/photo/?fbid=1065770608911798&set=a.1056396709849188,A
A69-72,"Hazbin hotel, dungeon mechi, final fantasy, genshin, hsr, hxh, kny, mob100, original, plave",https://www.facebook.com/photo/?fbid=1066310345524491&set=a.1056396709849188,A
A75-78,"Hand-made, original",,A
A79-80,original,https://www.facebook.com/photo/?fbid=1057907066364819&set=a.1056396709849188,A
A81-82,"original, webtoon",https://www.facebook.com/photo.php?fbid=1251032879920687&set=p.1251032879920687&type=3,A
A89-92,"ALNST, frieren, original, wind breaker",https://www.facebook.com/photo/?fbid=1067742398714619&set=a.1056396709849188,A
A95,"hsr, original",https://www.facebook.com/photo/?fbid=1065770592245133&set=a.1056396709849188,A
B03-04,"one piece, original",https://www.facebook.com/photo/?fbid=1067760408712818&set=a.1056397906515735,B
B07,"one piece, original, squid game",https://www.facebook.com/photo/?fbid=1062415305913995&set=a.1056397906515735,B
B05-06,"blue lock, conan, good omens, haikyuu, hxh, mahou-shoujo, one piece, original, squid game",https://www.facebook.com/photo/?fbid=1067760248712834&set=a.1056397906515735,B
B08,"etc., one piece",https://www.facebook.com/photo/?fbid=1066482122173980&set=a.1056397906515735,B
B09-10,"arknights, gundum, haikyuu, one piece, original, path to nowwhere, plave, slamdunk",https://www.facebook.com/photo/?fbid=1067760275379498&set=a.1056397906515735,B
B11-12,"Hazbin hotel, etc., one piece, squid game",https://www.facebook.com/photo/?fbid=1066311662191026&set=a.1056397906515735,B
B13-14,"gegege, mob100, one piece, original",https://www.facebook.com/photo/?fbid=1067760475379478&set=a.1056397906515735,B
B15-16,"LoL, holo, nijisanji, one piece",https://www.facebook.com/photo/?fbid=1065773752244817&set=a.1056397906515735,B
B17-18,one piece,https://www.facebook.com/photo/?fbid=1056397323182460&set=a.1056397906515735,B
B19-20,"one piece, ranma, shoujo",https://www.facebook.com/photo/?fbid=1065773992244793&set=a.1056397906515735,B
B23-24,"AOT, MHA, dungeon mechi, haikyuu, one piece, original, shoujo, sonic",https://www.facebook.com/photo/?fbid=1065773895578136&set=a.1056397906515735,B
B25-26,"etc., genshin, hsr, naruto, one piece, s class, tsurune, webtoon, wind breaker",https://www.facebook.com/photo/?fbid=1066311605524365&set=a.1056397906515735,B
B29-30,"AOT, JJK, Kaijuu8, MHA, blue lock, bocchi, conan, dandadan, dungeon mechi, frieren, genshin, haikyuu, hsr, mahou-shoujo, mashle, one piece, original, ron, sakamoto day, shoujo, spy x fam, tokyo revenger, zzz",https://www.facebook.com/photo/?fbid=1065773862244806&set=a.1056397906515735,B
B31,"ALNST, JJK, blue lock, chainsaw man, haikyuu, mashle, one piece, tokyo revenger, wind breaker, wuwa",https://www.facebook.com/photo/?fbid=1066311765524349&set=a.1056397906515735,B
B32,"haikyuu, original",https://www.facebook.com/photo/?fbid=1065773835578142&set=a.1056397906515735,B
B33,"chainsaw man, dungeon mechi, haikyuu, one piece, original, wind breaker, zzz",https://www.facebook.com/photo/?fbid=1066482105507315&set=a.1056397906515735,B
